doc_id,page_index,page_type,has_music,quality_comment,image_path,has_music_pred,has_music_score
rsl01001872102,1,unknown,0,,outputs\pages\rsl01001872102\page_001.png,0,0.2559
rsl01001872102,2,unknown,0,,outputs\pages\rsl01001872102\page_002.png,0,0.285
rsl01001872102,3,blank,0,"empty page, manually corrected after OMR check",outputs\pages\rsl01001872102\page_003.png,1,1.0
rsl01001872102,4,blank,0,"empty page, manually corrected after OMR check",outputs\pages\rsl01001872102\page_004.png,1,1.0
rsl01001872102,5,title,0,,outputs\pages\rsl01001872102\page_005.png,0,0.4151
rsl01001872102,6,unknown,0,,outputs\pages\rsl01001872102\page_006.png,0,0.0
rsl01001872102,7,text,0,,outputs\pages\rsl01001872102\page_007.png,0,0.0
rsl01001872102,8,text,0,,outputs\pages\rsl01001872102\page_008.png,0,0.0
rsl01001872102,9,text,0,,outputs\pages\rsl01001872102\page_009.png,0,0.0
rsl01001872102,10,text,0,,outputs\pages\rsl01001872102\page_010.png,0,0.0
rsl01001872102,11,text,0,,outputs\pages\rsl01001872102\page_011.png,0,0.0
rsl01001872102,12,text,0,,outputs\pages\rsl01001872102\page_012.png,0,0.0374
rsl01001872102,13,music,1,,outputs\pages\rsl01001872102\page_013.png,1,1.0
rsl01001872102,14,music,1,,outputs\pages\rsl01001872102\page_014.png,1,1.0
rsl01001872102,15,music,1,,outputs\pages\rsl01001872102\page_015.png,1,1.0
rsl01001872102,16,music,1,,outputs\pages\rsl01001872102\page_016.png,1,1.0
rsl01001872102,17,music,1,,outputs\pages\rsl01001872102\page_017.png,1,1.0
rsl01001872102,18,music,1,,outputs\pages\rsl01001872102\page_018.png,1,1.0
rsl01001872102,19,music,1,,outputs\pages\rsl01001872102\page_019.png,1,1.0
rsl01001872102,20,music,1,,outputs\pages\rsl01001872102\page_020.png,1,1.0
rsl01001872102,21,music,1,,outputs\pages\rsl01001872102\page_021.png,1,1.0
rsl01001872102,22,music,1,,outputs\pages\rsl01001872102\page_022.png,1,1.0
rsl01001872102,23,music,1,,outputs\pages\rsl01001872102\page_023.png,1,1.0
rsl01001872102,24,music,1,,outputs\pages\rsl01001872102\page_024.png,1,1.0
rsl01001872102,25,music,1,,outputs\pages\rsl01001872102\page_025.png,1,1.0
rsl01001872102,26,music,1,,outputs\pages\rsl01001872102\page_026.png,1,1.0
rsl01001872102,27,music,1,,outputs\pages\rsl01001872102\page_027.png,1,1.0
rsl01001872102,28,music,1,,outputs\pages\rsl01001872102\page_028.png,1,1.0
rsl01001872102,29,music,1,,outputs\pages\rsl01001872102\page_029.png,1,1.0
rsl01001872102,30,music,1,,outputs\pages\rsl01001872102\page_030.png,1,1.0
rsl01001872102,31,music,1,,outputs\pages\rsl01001872102\page_031.png,1,1.0
rsl01001872102,32,music,1,,outputs\pages\rsl01001872102\page_032.png,1,1.0
rsl01001872102,33,music,1,,outputs\pages\rsl01001872102\page_033.png,1,1.0
rsl01001872102,34,music,1,,outputs\pages\rsl01001872102\page_034.png,1,1.0
rsl01001872102,35,music,1,,outputs\pages\rsl01001872102\page_035.png,1,1.0
rsl01001872102,36,music,1,,outputs\pages\rsl01001872102\page_036.png,1,1.0
rsl01001872102,37,music,1,,outputs\pages\rsl01001872102\page_037.png,1,1.0
rsl01001872102,38,music,1,,outputs\pages\rsl01001872102\page_038.png,1,1.0
rsl01001872102,39,music,1,,outputs\pages\rsl01001872102\page_039.png,1,1.0
rsl01001872102,40,music,1,,outputs\pages\rsl01001872102\page_040.png,1,1.0
rsl01001872102,41,music,1,,outputs\pages\rsl01001872102\page_041.png,1,1.0
rsl01001872102,42,music,1,,outputs\pages\rsl01001872102\page_042.png,1,1.0
rsl01001872102,43,music,1,,outputs\pages\rsl01001872102\page_043.png,1,1.0
rsl01001872102,44,music,1,,outputs\pages\rsl01001872102\page_044.png,1,1.0
rsl01001872102,45,music,1,,outputs\pages\rsl01001872102\page_045.png,1,1.0
rsl01001872102,46,music,1,,outputs\pages\rsl01001872102\page_046.png,1,1.0
rsl01001872102,47,music,1,,outputs\pages\rsl01001872102\page_047.png,1,1.0
rsl01001872102,48,music,1,,outputs\pages\rsl01001872102\page_048.png,1,1.0
rsl01001872102,49,music,1,,outputs\pages\rsl01001872102\page_049.png,1,1.0
rsl01001872102,50,music,1,,outputs\pages\rsl01001872102\page_050.png,1,1.0
rsl01001872102,51,music,1,,outputs\pages\rsl01001872102\page_051.png,1,1.0
rsl01001872102,52,music,1,,outputs\pages\rsl01001872102\page_052.png,1,1.0
rsl01001872102,53,music,1,,outputs\pages\rsl01001872102\page_053.png,1,1.0
rsl01001872102,54,music,1,,outputs\pages\rsl01001872102\page_054.png,1,1.0
rsl01001872102,55,music,1,,outputs\pages\rsl01001872102\page_055.png,1,1.0
rsl01001872102,56,music,1,,outputs\pages\rsl01001872102\page_056.png,1,1.0
rsl01001872102,57,music,1,,outputs\pages\rsl01001872102\page_057.png,1,1.0
rsl01001872102,58,music,1,,outputs\pages\rsl01001872102\page_058.png,1,1.0
rsl01001872102,59,blank,0,"empty page, manually corrected after visual check",outputs\pages\rsl01001872102\page_059.png,1,1.0
rsl01001872102,60,blank,0,"empty page, manually corrected after visual check",outputs\pages\rsl01001872102\page_060.png,1,1.0
rsl01001872102,61,blank,0,"empty page, manually corrected after visual check",outputs\pages\rsl01001872102\page_061.png,1,1.0
