doc_id,page_index,page_type,has_music,quality_comment,image_path,has_music_pred,has_music_score,validation_source,needs_review
rsl01001872102,1,unknown,0,,outputs\pages\rsl01001872102\page_001.png,0,0.2559,manual_previous,1
rsl01001872102,2,unknown,0,,outputs\pages\rsl01001872102\page_002.png,0,0.285,manual_previous,1
rsl01001872102,3,blank,0,"empty page, manually corrected after OMR check",outputs\pages\rsl01001872102\page_003.png,1,1.0,manual_previous,1
rsl01001872102,4,blank,0,"empty page, manually corrected after OMR check",outputs\pages\rsl01001872102\page_004.png,1,1.0,manual_previous,1
rsl01001872102,5,title,0,,outputs\pages\rsl01001872102\page_005.png,0,0.4151,manual_previous,1
rsl01001872102,6,unknown,0,,outputs\pages\rsl01001872102\page_006.png,0,0.0,manual_previous,1
rsl01001872102,7,text,0,,outputs\pages\rsl01001872102\page_007.png,0,0.0,manual_previous,0
rsl01001872102,8,text,0,,outputs\pages\rsl01001872102\page_008.png,0,0.0,manual_previous,0
rsl01001872102,9,text,0,,outputs\pages\rsl01001872102\page_009.png,0,0.0,manual_previous,0
rsl01001872102,10,text,0,,outputs\pages\rsl01001872102\page_010.png,0,0.0,manual_previous,0
rsl01001872102,11,text,0,,outputs\pages\rsl01001872102\page_011.png,0,0.0,manual_previous,0
rsl01001872102,12,text,0,,outputs\pages\rsl01001872102\page_012.png,0,0.0374,manual_previous,0
rsl01001872102,13,music,1,,outputs\pages\rsl01001872102\page_013.png,1,1.0,manual_previous,0
rsl01001872102,14,music,1,,outputs\pages\rsl01001872102\page_014.png,1,1.0,manual_previous,0
rsl01001872102,15,music,1,,outputs\pages\rsl01001872102\page_015.png,1,1.0,manual_previous,0
rsl01001872102,16,music,1,,outputs\pages\rsl01001872102\page_016.png,1,1.0,manual_previous,0
rsl01001872102,17,music,1,,outputs\pages\rsl01001872102\page_017.png,1,1.0,manual_previous,0
rsl01001872102,18,music,1,,outputs\pages\rsl01001872102\page_018.png,1,1.0,manual_previous,0
rsl01001872102,19,music,1,,outputs\pages\rsl01001872102\page_019.png,1,1.0,manual_previous,0
rsl01001872102,20,music,1,,outputs\pages\rsl01001872102\page_020.png,1,1.0,manual_previous,0
rsl01001872102,21,music,1,,outputs\pages\rsl01001872102\page_021.png,1,1.0,manual_previous,0
rsl01001872102,22,music,1,,outputs\pages\rsl01001872102\page_022.png,1,1.0,manual_previous,0
rsl01001872102,23,music,1,,outputs\pages\rsl01001872102\page_023.png,1,1.0,manual_previous,0
rsl01001872102,24,music,1,,outputs\pages\rsl01001872102\page_024.png,1,1.0,manual_previous,0
rsl01001872102,25,music,1,,outputs\pages\rsl01001872102\page_025.png,1,1.0,manual_previous,0
rsl01001872102,26,music,1,,outputs\pages\rsl01001872102\page_026.png,1,1.0,manual_previous,0
rsl01001872102,27,music,1,,outputs\pages\rsl01001872102\page_027.png,1,1.0,manual_previous,0
rsl01001872102,28,music,1,,outputs\pages\rsl01001872102\page_028.png,1,1.0,manual_previous,0
rsl01001872102,29,music,1,,outputs\pages\rsl01001872102\page_029.png,1,1.0,manual_previous,0
rsl01001872102,30,music,1,,outputs\pages\rsl01001872102\page_030.png,1,1.0,manual_previous,0
rsl01001872102,31,music,1,,outputs\pages\rsl01001872102\page_031.png,1,1.0,manual_previous,0
rsl01001872102,32,music,1,,outputs\pages\rsl01001872102\page_032.png,1,1.0,manual_previous,0
rsl01001872102,33,music,1,,outputs\pages\rsl01001872102\page_033.png,1,1.0,manual_previous,0
rsl01001872102,34,music,1,,outputs\pages\rsl01001872102\page_034.png,1,1.0,manual_previous,0
rsl01001872102,35,music,1,,outputs\pages\rsl01001872102\page_035.png,1,1.0,manual_previous,0
rsl01001872102,36,music,1,,outputs\pages\rsl01001872102\page_036.png,1,1.0,manual_previous,0
rsl01001872102,37,music,1,,outputs\pages\rsl01001872102\page_037.png,1,1.0,manual_previous,0
rsl01001872102,38,music,1,,outputs\pages\rsl01001872102\page_038.png,1,1.0,manual_previous,0
rsl01001872102,39,music,1,,outputs\pages\rsl01001872102\page_039.png,1,1.0,manual_previous,0
